FORWARD SUCCESS  41
FORWARD FAIL 35
FORWARD PAYMENT 43
FORWARD PAYMENT 46
FORWARD FAIL 35
RECEIVE SUCCESS 41
FORWARD SUCCESS  22
FORWARD SUCCESS  37
FORWARD PAYMENT 45
FORWARD SUCCESS  37
RECEIVE SUCCESS 42
RECEIVE PAYMENT 43
FORWARD PAYMENT 44
FORWARD PAYMENT 45
RECEIVE PAYMENT 40
RECEIVE FAIL 35
FINDROUTE 35
SEND PAYMENT 35
FORWARD SUCCESS  39
FORWARD PAYMENT 35
FORWARD SUCCESS  43
FORWARD PAYMENT 46
RECEIVE SUCCESS 37
FORWARD SUCCESS  22
FORWARD PAYMENT 45
FINDROUTE 47
SEND PAYMENT 47
FORWARD SUCCESS  43
FORWARD PAYMENT 44
FORWARD PAYMENT 44
FORWARD PAYMENT 35
FORWARD SUCCESS  40
FINDROUTE 48
SEND PAYMENT 48
FORWARD SUCCESS  22
FORWARD SUCCESS  39
FORWARD PAYMENT 45
FORWARD PAYMENT 46
FORWARD SUCCESS  22
FORWARD PAYMENT 48
FORWARD SUCCESS  43
FORWARD PAYMENT 47
FORWARD SUCCESS  22
FORWARD PAYMENT 45
FORWARD PAYMENT 44
FORWARD SUCCESS  40
FORWARD SUCCESS  40
FORWARD SUCCESS  39
FORWARD PAYMENT 45
FORWARD PAYMENT 47
FORWARD PAYMENT 35
FORWARD SUCCESS  39
FORWARD PAYMENT 48
FORWARD SUCCESS  22
FORWARD PAYMENT 46
FORWARD PAYMENT 46
RECEIVE SUCCESS 39
FORWARD PAYMENT 35
FORWARD PAYMENT 35
FORWARD SUCCESS  43
FORWARD PAYMENT 44
FORWARD PAYMENT 47
FORWARD SUCCESS  40
FORWARD PAYMENT 45
FORWARD SUCCESS  40
FORWARD SUCCESS  43
FORWARD PAYMENT 48
RECEIVE PAYMENT 45
FORWARD PAYMENT 47
FORWARD PAYMENT 44
FORWARD PAYMENT 46
FORWARD SUCCESS  22
FORWARD PAYMENT 47
FORWARD SUCCESS  45
FORWARD PAYMENT 48
FORWARD PAYMENT 35
FORWARD SUCCESS  22
FORWARD SUCCESS  43
FORWARD PAYMENT 44
FINDROUTE 49
SEND PAYMENT 49
FORWARD PAYMENT 46
FORWARD PAYMENT 49
FORWARD PAYMENT 35
RECEIVE PAYMENT 44
FORWARD SUCCESS  40
FORWARD SUCCESS  40
FORWARD PAYMENT 48
FORWARD SUCCESS  44
FORWARD PAYMENT 49
FORWARD SUCCESS  45
FORWARD PAYMENT 49
RECEIVE SUCCESS 43
FORWARD PAYMENT 47
RECEIVE PAYMENT 47
RECEIVE PAYMENT 46
FORWARD SUCCESS  22
FORWARD SUCCESS  47
FORWARD SUCCESS  45
FORWARD PAYMENT 35
Not enough balance in channel 2346
FORWARD SUCCESS  44
FORWARD PAYMENT 48
RECEIVE PAYMENT 48
FORWARD SUCCESS  48
FORWARD SUCCESS  45
FORWARD SUCCESS  40
FINDROUTE 50
SEND PAYMENT 50
FORWARD SUCCESS  44
FORWARD SUCCESS  46
FINDROUTE 51
SEND PAYMENT 51
FORWARD FAIL 35
FORWARD SUCCESS  22
FORWARD PAYMENT 49
FORWARD PAYMENT 50
FORWARD SUCCESS  45
FORWARD PAYMENT 49
FORWARD PAYMENT 51
FORWARD SUCCESS  47
FORWARD SUCCESS  48
FORWARD SUCCESS  47
FORWARD FAIL 35
FORWARD SUCCESS  46
FORWARD SUCCESS  40
FORWARD PAYMENT 50
FORWARD PAYMENT 49
FORWARD SUCCESS  45
FORWARD SUCCESS  22
FORWARD SUCCESS  44
FINDROUTE 52
SEND PAYMENT 52
FORWARD SUCCESS  40
FORWARD SUCCESS  47
FORWARD PAYMENT 51
FORWARD PAYMENT 51
FORWARD SUCCESS  45
FORWARD SUCCESS  48
FORWARD SUCCESS  46
FORWARD SUCCESS  46
FINDROUTE 53
SEND PAYMENT 53
FORWARD PAYMENT 52
FORWARD PAYMENT 49
FORWARD FAIL 35
FORWARD FAIL 35
FORWARD SUCCESS  48
FORWARD SUCCESS  44
FORWARD PAYMENT 50
FORWARD SUCCESS  44
FORWARD PAYMENT 53
FORWARD SUCCESS  47
FORWARD PAYMENT 53
FORWARD FAIL 35
FORWARD PAYMENT 51
RECEIVE SUCCESS 40
FORWARD SUCCESS  22
FORWARD PAYMENT 52
FORWARD SUCCESS  47
FORWARD PAYMENT 50
FORWARD PAYMENT 49
RECEIVE SUCCESS 45
FORWARD SUCCESS  46
FINDROUTE 55
SEND PAYMENT 55
FINDROUTE 54
SEND PAYMENT 54
FORWARD PAYMENT 53
FORWARD SUCCESS  48
FORWARD PAYMENT 54
FORWARD SUCCESS  44
FORWARD PAYMENT 54
RECEIVE SUCCESS 47
FORWARD PAYMENT 52
FORWARD SUCCESS  22
FORWARD PAYMENT 50
FORWARD FAIL 35
FORWARD PAYMENT 51
FORWARD PAYMENT 51
RECEIVE SUCCESS 22
FORWARD SUCCESS  48
FORWARD PAYMENT 55
FORWARD PAYMENT 52
RECEIVE PAYMENT 49
FORWARD SUCCESS  46
FORWARD PAYMENT 54
FORWARD SUCCESS  44
FORWARD PAYMENT 53
FORWARD PAYMENT 54
RECEIVE SUCCESS 48
FORWARD FAIL 35
FORWARD PAYMENT 50
FORWARD PAYMENT 52
FORWARD PAYMENT 52
RECEIVE FAIL 35
FINDROUTE 35
SEND PAYMENT 35
FORWARD PAYMENT 54
RECEIVE PAYMENT 51
FORWARD PAYMENT 53
RECEIVE PAYMENT 54
FORWARD PAYMENT 50
FORWARD SUCCESS  49
FORWARD PAYMENT 55
FORWARD SUCCESS  54
FORWARD PAYMENT 53
FORWARD SUCCESS  46
FORWARD PAYMENT 35
FORWARD PAYMENT 52
RECEIVE SUCCESS 44
FORWARD PAYMENT 53
FORWARD SUCCESS  54
FORWARD SUCCESS  51
FORWARD SUCCESS  51
FORWARD SUCCESS  54
FORWARD PAYMENT 53
FORWARD PAYMENT 35
RECEIVE SUCCESS 46
FORWARD PAYMENT 50
FORWARD PAYMENT 35
FORWARD PAYMENT 55
FORWARD SUCCESS  49
FORWARD PAYMENT 53
FORWARD SUCCESS  54
RECEIVE PAYMENT 52
FINDROUTE 56
SEND PAYMENT 56
FORWARD SUCCESS  54
RECEIVE SUCCESS 54
RECEIVE PAYMENT 53
FORWARD SUCCESS  49
FORWARD PAYMENT 35
